date,A,B,C
2013-07-02,100.0,102.0,104.0
2013-07-03,99.87213941174774,102.29862867355054,104.82131178857232
2013-07-05,99.10997463024881,102.73351717549369,104.25629650594418
2013-07-08,99.9712779485532,102.87704734019819,103.63119902254498
2013-07-09,98.86619204564725,102.56869570161196,106.37532535525685
2013-07-10,98.30405353414451,102.72385427476108,104.34435792275164
2013-07-11,98.69765983437979,101.94351889378864,104.54490048623923
2013-07-12,98.47919421985215,102.4631996218288,106.19151252624985
2013-07-15,98.18351779954821,103.12639529678245,108.46844320300337
2013-07-16,97.65387214714862,103.60406574402658,108.58939681433631
2013-07-17,98.00740574599878,102.57778804607746,109.00465086956783
2013-07-18,97.78033327052937,102.55997589143652,107.45046192811434
2013-07-19,97.28967247469681,102.46699692668183,106.98667696661445
2013-07-22,97.23677352337529,104.06052657209375,110.20086610001506
2013-07-23,96.7546142227544,102.84624358040246,111.12822632176197
2013-07-24,97.01643164958344,102.24397826222888,113.87742819421014
2013-07-25,97.19896132214214,102.8637205697335,113.73005037676569
2013-07-26,98.72484350680013,102.39541751421758,114.18617698786555
2013-07-29,98.90323581922227,102.10479269021347,114.90725577236586
2013-07-30,99.09310516009718,103.48137454698723,113.95292667281234
2013-07-31,98.87651234719358,104.0881440253122,116.46165491830286
2013-08-01,97.91728669975898,104.1872690026217,115.30524816256778
2013-08-02,97.78110596818729,105.4512944098939,117.79959333437742
2013-08-05,97.90729650048455,104.51445040182459,113.2148074257473
2013-08-06,98.01911206518957,103.99008143308127,115.14332769150674
2013-08-07,99.23627867623443,104.50977893658171,115.31875200135889
2013-08-08,99.74458981123475,103.25138005755787,117.12000625956739
2013-08-09,98.01942578437388,103.03458204960862,114.65031060131932
2013-08-12,98.45436072803318,103.42870322383239,115.33609588018393
2013-08-13,98.16596785012004,103.24187567797298,116.94347762702708
2013-08-14,98.4069344696354,104.39644644505763,117.05401766646261
2013-08-15,99.13867373642155,103.91367731584634,116.79159345343606
2013-08-16,100.7129201847879,103.42948397539858,113.86838342389255
2013-08-19,100.21994647316524,103.38037185969988,111.17399305615335
2013-08-20,100.20013153891551,104.01270692064352,115.43381249583648
2013-08-21,100.23198798399157,103.47049653514989,116.96352549062655
2013-08-22,100.54611365492568,102.63433682037001,116.48905670172779
2013-08-23,100.69508542605833,101.9862507740934,118.32757313301443
2013-08-26,101.5302089645664,100.78867891385221,115.42032562337907
2013-08-27,101.82257116765702,100.7185690249843,114.13924321018972
2013-08-28,100.94650981525425,100.42028614972155,113.11087464337754
2013-08-29,100.7214306865134,100.65750699011282,110.71730250961852
2013-08-30,100.29382549062674,100.906584425897,108.54684214965715
2013-09-03,99.67826268127946,100.41769178274915,108.0928828550627
2013-09-04,100.24300775359215,99.40214831494025,106.10191900257897
2013-09-05,99.62008758527516,100.13046554121817,106.14213018978872
2013-09-06,99.8608185142082,100.3725006628626,108.48974301500253
2013-09-09,99.84536426328314,101.97002791527756,106.60848756397166
2013-09-10,100.48651021955554,102.96611742295725,104.15836563518317
2013-09-11,100.65492495066373,102.7529442905882,102.54797899264744
2013-09-12,100.07374600483615,104.56039773603449,102.0553815034604
2013-09-13,99.97004451938668,104.0165471652747,99.85666395138566
2013-09-16,100.50325261680828,104.89603413311049,99.72599066026365
2013-09-17,99.86022259832005,103.7222308867963,100.33065636788436
2013-09-18,100.07694245243687,103.78895288105477,98.52660849124473
2013-09-19,99.63084820219734,104.2137390812391,96.28845299611032
2013-09-20,100.48941577921717,102.34183505178981,96.00756182868402
2013-09-23,101.16276110758133,104.15428513537813,95.99401529692261
2013-09-24,101.00787392148952,104.4300220436134,96.52527910427357
2013-09-25,101.2796136806142,104.05378582286829,96.37632948144746
2013-09-26,101.76520740986675,104.16231934730996,96.68634276117892
2013-09-27,101.99223469031685,104.00090381630635,96.69767597265474
2013-09-30,102.82939050250103,103.40233021480063,95.47643118554942
2013-10-01,103.32717621415287,102.40790916360929,92.86527558453199
2013-10-02,102.7546329089163,103.18541782309576,91.7470553989556
2013-10-03,103.81429823710134,102.82608506537873,93.18955538795852
2013-10-04,103.56354684170765,103.1730574934246,92.64845032912973
2013-10-07,103.04766538647138,103.6802190130863,93.5688064918706
2013-10-08,103.55461589379496,103.93968753333382,94.7172641195535
2013-10-09,103.62330571569252,103.65237564664379,93.40256193857681
2013-10-10,104.79868512805453,104.80444253887799,94.69045295604397
2013-10-11,104.57508302950677,106.49557643169298,94.03818228332027
2013-10-14,104.94771603845882,108.63112955494906,95.26002751961677
2013-10-15,104.18722160419946,108.01780644210405,94.22078050367784
2013-10-16,104.21610542003788,107.90559908645713,94.2583572287749
2013-10-17,105.8682089526942,106.8352126516948,93.74456427284403
2013-10-18,105.58078946689893,108.31741064855999,91.54103311533524
2013-10-21,106.5896320742547,107.24262080136053,91.8409828443062
2013-10-22,106.41973913490877,105.56076874177197,91.14163976625612
2013-10-23,106.35661502494973,106.41958237788744,93.61347857431879
2013-10-24,105.78870140013971,106.2520737249721,93.20946960005804
2013-10-25,104.7046401414287,106.85521544108477,93.35396905413053
2013-10-28,103.86365735726831,106.46554852023516,93.20121155728162
2013-10-29,104.45200540871443,106.82075304680247,89.2723219882858
2013-10-30,104.65688354994744,105.66909154017691,90.90371336031069
2013-10-31,103.74257884122669,104.53121575626004,91.02563437499974
2013-11-01,105.25346468086293,104.289926346625,91.12933960457775
2013-11-04,105.56573775169429,105.8732769555241,93.15114359054415
2013-11-05,105.06077981609486,104.55386625081523,90.98194912987401
2013-11-06,105.83679399841654,105.11136228204049,91.01859618951417
2013-11-07,106.02390275452518,104.34063528981835,92.44321093340473
2013-11-08,106.4598745292026,104.03874455809748,93.9373755594172
2013-11-11,106.97249970447346,105.66991139504206,94.79937973737398
2013-11-12,106.49320466365027,106.17136130809577,97.80634920362078
2013-11-13,106.40849440397201,106.51426670558699,95.35811522967178
2013-11-14,106.00048294410615,107.44953616763762,95.38504049872236
2013-11-15,106.19251207141465,106.91867103806013,93.60221349120765
2013-11-18,106.84929554004678,107.06813717607484,94.1136268371769
2013-11-19,106.78677396138349,108.69496884976694,93.62040103275555
2013-11-20,105.77327116068375,107.83465733932091,94.52405862396972
2013-11-21,104.62138355580127,108.93711262977833,98.0755992305664
2013-11-22,105.35147156867262,110.07807275041652,97.1768870167538
2013-11-25,105.54640788922434,109.1311049646824,98.29693977305921
2013-11-26,105.19984661439791,110.3525032947332,100.78029385718655
2013-11-27,104.68512684273206,109.72061563353101,100.89976024436567
2013-11-29,105.79539780394718,110.75294847174695,102.75320758230245
2013-12-02,105.71711074492055,112.12441577489754,102.96347875986565
2013-12-03,105.05788758160156,111.79816049726486,102.94425178192805
2013-12-04,104.93608471756455,112.07231906346716,105.82491089367426
2013-12-05,105.25835737148799,113.38901425801129,103.7024243185655
2013-12-06,106.26048544342129,114.04206099526036,103.20997635804346
2013-12-09,106.84435870453311,114.6896637212676,103.23458101866505
2013-12-10,106.48977455638548,114.87539721556571,102.27124268709309
2013-12-11,106.81170966353226,112.10762800392176,102.43417267557106
2013-12-12,107.40939381545859,111.15681936585743,101.92512331543372
2013-12-13,108.13198231847097,110.43944712649727,102.28379298344755
2013-12-16,108.4647294196851,112.16988388996295,101.22659854983249
2013-12-17,108.65139497293075,110.63260564010486,104.410276784871
2013-12-18,109.16126057348757,111.42351345906717,105.17734149615406
2013-12-19,109.28840838019926,112.46636166459625,102.15069893827952
2013-12-20,108.53784261497985,113.41895997577275,101.830005065036
2013-12-23,108.42524472009647,114.80991154894484,104.15705074105153
2013-12-24,107.62404430494101,113.93923967779858,104.65141608617066
2013-12-26,108.93539727565064,113.37755359981219,103.9127397544782
2013-12-27,109.33539346021125,112.8937866051511,105.10438685366904
2013-12-30,109.62852629575544,112.56258291230029,107.22508263146244
2013-12-31,109.6012580788736,112.03807723112341,104.46669263234814
2014-01-02,109.03422501082647,111.66056665744344,105.18778682939205
2014-01-03,109.49751580576992,112.23359582366095,106.40295066728027
2014-01-06,109.7030642262125,111.9328957465076,106.05576871023183
2014-01-07,110.66399612590418,111.77975466487507,106.61873122827754
2014-01-08,110.99116564956385,110.58530847504339,105.49593041930608
2014-01-09,110.48281948743546,109.42123129319063,106.83025520776107
2014-01-10,111.09896021201841,109.28489211982806,108.48959551404857
2014-01-13,111.21770818617209,109.14272822054473,108.12393049151552
2014-01-14,110.82843618390096,108.91874751576468,111.72321262939168
2014-01-15,111.73301191594311,109.1389349243475,110.62888801850136
2014-01-16,111.55582924975928,108.77032060606226,110.85181900296534
2014-01-17,111.64673806052498,108.98207889218371,111.51865634634147
2014-01-21,111.43070826561178,109.14892990227123,110.33224109869697
